Place Name,State,County,Lat,Long,Zip Code
Holtsville,NY,Suffolk,40.8154,-73.0451,501
Holtsville,NY,Suffolk,40.8154,-73.0451,544
Agawam,MA,Hampden,42.0702,-72.6227,1001
Amherst,MA,Hampshire,42.3671,-72.4646,1002
Amherst,MA,Hampshire,42.3919,-72.5248,1003
Amherst,MA,Hampshire,42.3845,-72.5132,1004
Barre,MA,Worcester,42.4097,-72.1084,1005
Belchertown,MA,Hampshire,42.2751,-72.411,1007
Blandford,MA,Hampden,42.1829,-72.9361,1008
Bondsville,MA,Hampden,42.2061,-72.3405,1009
Brimfield,MA,Hampden,42.1165,-72.1885,1010
Chester,MA,Hampden,42.2794,-72.9888,1011
Chesterfield,MA,Hampshire,42.3923,-72.8256,1012
Chicopee,MA,Hampden,42.1487,-72.6079,1013
Chicopee,MA,Hampden,42.1707,-72.6048,1014
Chicopee,MA,Hampden,42.1764,-72.5761,1020
Chicopee,MA,Hampden,42.1707,-72.6048,1021
Chicopee,MA,Hampden,42.1934,-72.5544,1022
Cummington,MA,Hampshire,42.4633,-72.9202,1026
Easthampton,MA,Hampshire,42.2668,-72.669,1027
East Longmeadow,MA,Hampden,42.0672,-72.5056,1028
East Otis,MA,Berkshire,42.1909,-73.0517,1029
Feeding Hills,MA,Hampden,42.0718,-72.6751,1030
Gilbertville,MA,Worcester,42.3322,-72.1986,1031
Goshen,MA,Hampshire,42.4404,-72.7995,1032
Granby,MA,Hampshire,42.2557,-72.52,1033
Granville,MA,Hampden,42.1127,-72.952,1034
Hadley,MA,Hampshire,42.3606,-72.5715,1035
Hampden,MA,Hampden,42.0648,-72.4318,1036
Hardwick,MA,Worcester,42.3479,-72.2253,1037
Hatfield,MA,Hampshire,42.3844,-72.6167,1038
Haydenville,MA,Hampshire,42.3818,-72.7032,1039
Holyoke,MA,Hampden,42.202,-72.6262,1040
Holyoke,MA,Hampden,42.2043,-72.6162,1041
Huntington,MA,Hampshire,42.2653,-72.8733,1050
Leeds,MA,Hampshire,42.3543,-72.7034,1053
Leverett,MA,Franklin,42.4682,-72.4993,1054
Ludlow,MA,Hampden,42.1728,-72.471,1056
Monson,MA,Hampden,42.101,-72.3196,1057
North Amherst,MA,Hampshire,42.4104,-72.5309,1059
Northampton,MA,Hampshire,42.3223,-72.6313,1060
Northampton,MA,Hampshire,42.3696,-72.636,1061
Florence,MA,Hampshire,42.3219,-72.6928,1062
Northampton,MA,Hampshire,42.3179,-72.6402,1063
North Hatfield,MA,Hampshire,42.4067,-72.6339,1066
Oakham,MA,Worcester,42.348,-72.0513,1068
Palmer,MA,Hampden,42.1762,-72.3288,1069
Plainfield,MA,Hampshire,42.5144,-72.9183,1070
Russell,MA,Hampden,42.1471,-72.8403,1071
Shutesbury,MA,Franklin,42.482,-72.4213,1072
Southampton,MA,Hampshire,42.2247,-72.7194,1073
South Barre,MA,Worcester,42.3854,-72.0954,1074
South Hadley,MA,Hampshire,42.2375,-72.5811,1075
Southwick,MA,Hampden,42.0511,-72.7706,1077
Thorndike,MA,Hampden,42.1929,-72.3296,1079
Three Rivers,MA,Hampden,42.1819,-72.3624,1080
Wales,MA,Hampden,42.0627,-72.2046,1081
Ware,MA,Hampshire,42.2618,-72.2583,1082
Warren,MA,Worcester,42.204,-72.1994,1083
West Chesterfield,MA,Hampshire,42.3903,-72.8709,1084
Westfield,MA,Hampden,42.1251,-72.7495,1085
Westfield,MA,Hampden,42.1734,-72.848,1086
West Hatfield,MA,Hampshire,42.3906,-72.6469,1088
West Springfield,MA,Hampden,42.1151,-72.6411,1089
West Springfield,MA,Hampden,42.1707,-72.6048,1090
West Warren,MA,Worcester,42.2029,-72.229,1092
Whately,MA,Franklin,42.4427,-72.6525,1093
Wheelwright,MA,Worcester,42.3582,-72.1408,1094
Wilbraham,MA,Hampden,42.1245,-72.4464,1095
Williamsburg,MA,Hampshire,42.4085,-72.778,1096
Woronoco,MA,Hampden,42.164,-72.8295,1097
Worthington,MA,Hampshire,42.3843,-72.9314,1098
Springfield,MA,Hampden,42.1015,-72.5898,1101
Springfield,MA,Hampden,42.1707,-72.6048,1102
Springfield,MA,Hampden,42.1029,-72.5887,1103
Springfield,MA,Hampden,42.1288,-72.5778,1104
Springfield,MA,Hampden,42.0999,-72.5783,1105
Longmeadow,MA,Hampden,42.0507,-72.5676,1106
Springfield,MA,Hampden,42.1179,-72.6065,1107
Springfield,MA,Hampden,42.0853,-72.5584,1108
Springfield,MA,Hampden,42.1145,-72.5543,1109
Springfield,MA,Hampden,42.1707,-72.6048,1111
Springfield,MA,Hampden,42.1029,-72.5916,1115
Longmeadow,MA,Hampden,42.1707,-72.6048,1116
Springfield,MA,Hampden,42.0929,-72.5274,1118
Springfield,MA,Hampden,42.1247,-72.5121,1119
Springfield,MA,Hampden,42.0944,-72.4889,1128
Springfield,MA,Hampden,42.1223,-72.4876,1129
Springfield,MA,Hampden,42.1707,-72.6048,1138
Springfield,MA,Hampden,42.1707,-72.6048,1139
Springfield,MA,Hampden,42.1018,-72.5915,1144
Indian Orchard,MA,Hampden,42.1532,-72.505,1151
Springfield,MA,Hampden,42.1707,-72.6048,1152
Springfield,MA,Hampden,42.1199,-72.605,1199
Pittsfield,MA,Berkshire,42.4531,-73.2471,1201
Pittsfield,MA,Berkshire,42.3929,-73.2285,1202
Pittsfield,MA,Berkshire,42.3929,-73.2285,1203
Adams,MA,Berkshire,42.6223,-73.1172,1220
Ashley Falls,MA,Berkshire,42.0596,-73.3202,1222
Becket,MA,Berkshire,42.3594,-73.1203,1223
Berkshire,MA,Berkshire,42.5126,-73.1929,1224
Cheshire,MA,Berkshire,42.5611,-73.158,1225
Dalton,MA,Berkshire,42.475,-73.1603,1226
Dalton,MA,Berkshire,42.4737,-73.1662,1227
Glendale,MA,Berkshire,42.2793,-73.3435,1229
Great Barrington,MA,Berkshire,42.1959,-73.3607,1230
Hinsdale,MA,Berkshire,42.4298,-73.0724,1235
Housatonic,MA,Berkshire,42.2653,-73.3745,1236
Lanesborough,MA,Berkshire,42.5173,-73.2282,1237
Lee,MA,Berkshire,42.299,-73.2317,1238
Lenox,MA,Berkshire,42.3642,-73.2713,1240
Lenox Dale,MA,Berkshire,42.3386,-73.2509,1242
