State,Zip Code,Place Name,County,Lat,Long
HI,96737,Ocean View,Hawaii,19.1002,-155.7258
OR,97134,Oceanside,Tillamook,45.4549,-123.965
MO,63701,Cape Girardeau,Cape Girardeau,37.3169,-89.5459
NM,88250,Hope,Eddy,32.8156,-104.7299
MO,64444,Edgerton,Platte,39.4742,-94.6352
PA,15450,La Belle,Fayette,39.9983,-79.9754
CA,94278,Sacramento,Sacramento,38.5816,-121.4944
OR,97875,Stanfield,Umatilla,45.786,-119.2116
NE,68113,Offutt Afb,Sarpy,41.2563,-95.9404
IL,61536,Hanna City,Peoria,40.6798,-89.7952
HI,96837,Honolulu,Honolulu,21.315,-157.8633
CA,93465,Templeton,San Luis Obispo,35.5551,-120.7107
CA,92807,Anaheim,Orange,33.8544,-117.7858
SC,29936,Ridgeland,Jasper,32.4807,-80.9804
OH,45646,Latham,Pike,39.0804,-83.3283
WA,98119,Seattle,King,47.6379,-122.3643
PA,18660,Wapwallopen,Luzerne,41.068,-76.0857
OH,45769,Pomeroy,Meigs,39.0607,-82.0331
AR,72450,Paragould,Greene,36.06,-90.5251
NY,14058,Elba,Genesee,43.0897,-78.1704
PA,16023,Cabot,Butler,40.7924,-79.76
TN,38041,Henning,Lauderdale,35.6593,-89.6962
MS,38754,Isola,Humphreys,33.2471,-90.604
NY,12592,Wassaic,Dutchess,41.7759,-73.5544
OK,74761,Swink,Choctaw,34.0179,-95.2022
FL,33862,Lake Placid,Highlands,27.2931,-81.3629
MN,55329,Eden Valley,Meeker,45.302,-94.6039
NC,28692,Vilas,Watauga,36.2574,-81.7652
MN,56563,Moorhead,Clay,46.8739,-96.7695
CA,95913,Artois,Glenn,39.6197,-122.1927
IL,62794,Springfield,Sangamon,39.7495,-89.606
ME,4022,Denmark,Oxford,43.9755,-70.7924
AR,71748,Ivan,Dallas,33.9118,-92.4246
TX,76908,Goodfellow Afb,Tom Green,31.4321,-100.4022
OK,73083,Edmond,Oklahoma,35.6665,-97.4654
AZ,85376,Sun City West,Maricopa,33.662,-112.3413
MS,38769,Rosedale,Bolivar,33.8432,-90.9923
LA,71461,New Llano,Vernon,31.1149,-93.2716
FL,34637,Land O Lakes,Pasco,28.2782,-82.4625
CO,80479,Toponas,Routt,40.0603,-106.8081
CO,80236,Denver,Denver,39.6535,-105.0376
IA,51536,Hancock,Pottawattamie,41.3832,-95.3445
NM,88124,Melrose,Curry,34.4479,-103.6325
TN,37755,Helenwood,Scott,36.4329,-84.5381
TN,37769,Lake City,Anderson,36.2032,-84.1386
OK,74631,Blackwell,Kay,36.8006,-97.2867
IL,61108,Rockford,Winnebago,42.2514,-89.0235
WV,25514,Fort Gay,Wayne,38.1335,-82.5541
IA,51531,Elk Horn,Shelby,41.5829,-95.07
AL,35754,Laceys Spring,Morgan,34.4996,-86.6129
MN,56473,Pillager,Cass,46.3607,-94.4895
WV,25570,Wayne,Wayne,38.2258,-82.4339
GA,30019,Dacula,Gwinnett,33.9883,-83.8795
MS,39083,Hazlehurst,Copiah,31.8562,-90.4051
LA,70662,Sugartown,Beauregard,30.8277,-93.017
AR,72741,Johnson,Washington,36.1329,-94.1655
NY,11055,Port Washington,Nassau,40.7548,-73.6018
VA,22432,Burgess,Northumberland,37.8687,-76.3542
IN,47305,Muncie,Delaware,40.1933,-85.3862
IA,51244,Matlock,Sioux,43.2439,-95.9353
IN,47435,Helmsburg,Brown,39.1963,-86.2302
MD,20620,Callaway,St. Mary's,38.2275,-76.521
IN,46111,Brooklyn,Morgan,39.5396,-86.3701
